	run ID	name	method	date run	command-line
0	1	00026119983f76d435684ef7366e3154	ANIm	2023-02-09 18:43:44.027770	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/00026119983f76d435684ef7366e3154 -o genome_clusters/00026119983f76d435684ef7366e3154/output -v -l genome_clusters/00026119983f76d435684ef7366e3154/output.log --name 00026119983f76d435684ef7366e3154 --labels genome_clusters/00026119983f76d435684ef7366e3154/labels.txt --classes genome_clusters/00026119983f76d435684ef7366e3154/classes.txt
1	2	00057b9d0c4afe16e2aedf24254903df	ANIm	2023-02-09 18:45:59.544334	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/00057b9d0c4afe16e2aedf24254903df -o genome_clusters/00057b9d0c4afe16e2aedf24254903df/output -v -l genome_clusters/00057b9d0c4afe16e2aedf24254903df/output.log --name 00057b9d0c4afe16e2aedf24254903df --labels genome_clusters/00057b9d0c4afe16e2aedf24254903df/labels.txt --classes genome_clusters/00057b9d0c4afe16e2aedf24254903df/classes.txt
2	3	003874697028f4d090856492f1a19b5c	ANIm	2023-02-09 19:02:31.094150	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/003874697028f4d090856492f1a19b5c -o genome_clusters/003874697028f4d090856492f1a19b5c/output -v -l genome_clusters/003874697028f4d090856492f1a19b5c/output.log --name 003874697028f4d090856492f1a19b5c --labels genome_clusters/003874697028f4d090856492f1a19b5c/labels.txt --classes genome_clusters/003874697028f4d090856492f1a19b5c/classes.txt
3	4	00cba6e744359b3c15215cf7e2a55dbc	ANIm	2023-02-09 19:02:52.694237	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/00cba6e744359b3c15215cf7e2a55dbc -o genome_clusters/00cba6e744359b3c15215cf7e2a55dbc/output -v -l genome_clusters/00cba6e744359b3c15215cf7e2a55dbc/output.log --name 00cba6e744359b3c15215cf7e2a55dbc --labels genome_clusters/00cba6e744359b3c15215cf7e2a55dbc/labels.txt --classes genome_clusters/00cba6e744359b3c15215cf7e2a55dbc/classes.txt
4	5	0111c104c4886798d465064794ec0458	ANIm	2023-02-09 19:03:27.903513	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/0111c104c4886798d465064794ec0458 -o genome_clusters/0111c104c4886798d465064794ec0458/output -v -l genome_clusters/0111c104c4886798d465064794ec0458/output.log --name 0111c104c4886798d465064794ec0458 --labels genome_clusters/0111c104c4886798d465064794ec0458/labels.txt --classes genome_clusters/0111c104c4886798d465064794ec0458/classes.txt
5	6	021ed0754d42c46748fdb3ccceda01e7	ANIm	2023-02-09 19:03:49.669902	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/021ed0754d42c46748fdb3ccceda01e7 -o genome_clusters/021ed0754d42c46748fdb3ccceda01e7/output -v -l genome_clusters/021ed0754d42c46748fdb3ccceda01e7/output.log --name 021ed0754d42c46748fdb3ccceda01e7 --labels genome_clusters/021ed0754d42c46748fdb3ccceda01e7/labels.txt --classes genome_clusters/021ed0754d42c46748fdb3ccceda01e7/classes.txt
6	7	032b1d634d4531776a20ca75b781780d	ANIm	2023-02-09 19:04:23.024715	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/032b1d634d4531776a20ca75b781780d -o genome_clusters/032b1d634d4531776a20ca75b781780d/output -v -l genome_clusters/032b1d634d4531776a20ca75b781780d/output.log --name 032b1d634d4531776a20ca75b781780d --labels genome_clusters/032b1d634d4531776a20ca75b781780d/labels.txt --classes genome_clusters/032b1d634d4531776a20ca75b781780d/classes.txt
7	8	05b0fdddc42db35e70b093c41f0d190d	ANIm	2023-02-09 19:04:48.290771	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/05b0fdddc42db35e70b093c41f0d190d -o genome_clusters/05b0fdddc42db35e70b093c41f0d190d/output -v -l genome_clusters/05b0fdddc42db35e70b093c41f0d190d/output.log --name 05b0fdddc42db35e70b093c41f0d190d --labels genome_clusters/05b0fdddc42db35e70b093c41f0d190d/labels.txt --classes genome_clusters/05b0fdddc42db35e70b093c41f0d190d/classes.txt
8	9	06077a39c4e2a2cf8683662765d74186	ANIm	2023-02-09 19:05:10.631453	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/06077a39c4e2a2cf8683662765d74186 -o genome_clusters/06077a39c4e2a2cf8683662765d74186/output -v -l genome_clusters/06077a39c4e2a2cf8683662765d74186/output.log --name 06077a39c4e2a2cf8683662765d74186 --labels genome_clusters/06077a39c4e2a2cf8683662765d74186/labels.txt --classes genome_clusters/06077a39c4e2a2cf8683662765d74186/classes.txt
9	10	06ab1e746e9a2053e30bbd31db9532a4	ANIm	2023-02-09 19:05:39.455634	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=genome_clusters/06ab1e746e9a2053e30bbd31db9532a4 -o genome_clusters/06ab1e746e9a2053e30bbd31db9532a4/output -v -l genome_clusters/06ab1e746e9a2053e30bbd31db9532a4/output.log --name 06ab1e746e9a2053e30bbd31db9532a4 --labels genome_clusters/06ab1e746e9a2053e30bbd31db9532a4/labels.txt --classes genome_clusters/06ab1e746e9a2053e30bbd31db9532a4/classes.txt
